,0
0,"Industrial Sector Generation from Distillate Fuel Oil, Annual"
1,"Electric Power Sector Generation from Distillate Fuel Oil, Annual"
2,"Butanes/Butylenes Refinery and Blender Net Production, Annual"
3,"Butanes/Butylenes Product Supplied, Annual"
4,"Real Gross State Product E. N. Central, Annual"
5,"Cost of Distillate Fuel Oil Delivered to Electric Generating Plants, Annual"
6,"Distillate Fuel Oil Stocks, Electric Power Sector, Annual"
7,"Diesel Fuel Retail Price Including Taxes, U.S. Average, Annual"
8,"Diesel fuel retail price incl taxes, U.S. average, Annual"
9,"Diesel Fuel Retail Real Prrice Incl Taxes, U.S. Average, Annual"
10,"Diesel Fuel Consumption, Annual"
11,"Diesel Fuel Refiner Wholesale Price, Annual"
12,"Total Non-Farm Employment E. N. Central, Annual"
13,"Total Non-Farm Employment E. S. Central, Annual"
14,"Total Non-Farm Employment Middle Atlantic, Annual"
15,"Total Non-Farm Employment Mountain, Annual"
16,"Total Non-Farm Employment New England, Annual"
17,"Total Non-Farm Employment Pacific, Annual"
18,"Total Non-Farm Employment S. Atlantic, Annual"
19,"Total Non-Farm Employment W. N. Central, Annual"
20,"Total Non-Farm Employment W. S. Central, Annual"
21,"OPEC Total Spare Crude Oil Production Capacity, Annual"
22,"OPEC Middle East Surplus Crude Oil Production Capacity, Annual"
23,"OPEC Other Spare Crude Oil Production Capacity, Annual"
24,"Saudi Arabia Spare Crude Oil Production Capacity, Annual"
25,"United Arab Emirates Spare Crude Oil Production Capacity, Annual"
26,"Venezuela Spare Crude Oil Production Capacity, Annual"
27,"Crude OIl Refinery Input, Annual"
28,"Strategic Petroleum Reserve, Annual"
29,"Crude Oil Net SPR Withdrawals, Annual"
30,"Crude Oil Inventory (excluding SPR), Annual"
31,"Real Gross State Product E. S. Central, Annual"
32,"Real Gross State Product Middle Atlantic, Annual"
33,"Real Gross State Product Mountain, Annual"
34,"Real Gross State Product New England, Annual"
35,"Real Gross State Product Pacific, Annual"
36,"Real Gross State Product S. Atlantic, Annual"
37,"Real Gross State Product W. N. Central, Annual"
38,"Real Gross State Product W. S. Central, Annual"
39,"Commercial Employment, Annual"
40,"Commercial Employment, Annual"
41,"Non-Farm Employment, Annual"
42,"Transportation Sector Consumption of Energy from Ethanol, Annual"
43,"Fuel Ethanol Adjustments, Annual"
44,"Fuel Ethanol Net Imports, Annual"
45,"Ethanol Energy Supply, Annual"
46,"Fuel Ethanol Production, Annual"
47,"Fuel Ethanol Inventory, Annual"
48,"Commercial sector consumption of coal, United States, Annual"
49,"Commercial sector net generation from coal, United States, Annual"
50,"Industrial Sector Generation from Coal, Annual"
51,"Electric power sector  consumption of coal, California, Annual"
52,"Electric power sector  consumption of coal, Florida (FRCC), Annual"
53,"Electric power sector  consumption of coal, Hawaii and Alaska, Annual"
54,"Electric power sector  consumption of coal, Midwest (Midcontinent ISO), Annual"
55,"Electric power sector  consumption of coal, New England (ISO-NE), Annual"
56,"Electric power sector  consumption of coal, Northwest, Annual"
57,"Electric power sector  consumption of coal, New York (NYISO), Annual"
58,"Electric power sector  consumption of coal, Mid-Atlantic (PJM), Annual"
59,"Electric power sector  consumption of coal, Southeast (SERC), Annual"
60,"Electric power sector  consumption of coal, Central (SPP ISO), Annual"
61,"Electric power sector  consumption of coal, Southwest, Annual"
62,"Electric power sector  consumption of coal, Texas (ERCOT), Annual"
63,"Electric power sector  consumption of coal, United States, Annual"
64,"Retail Sales of Electricity in Commercial Sector, Pacific Contiguous, Annual"
65,"Retail Sales of Electricity in Commercial Sector, South Atlantic, Annual"
66,"Retail Sales of Electricity in Commercial Sector, U.S. Total, Annual"
67,"Retail Sales of Electricity in Commercial Sector, West North Central, Annual"
68,"Retail Sales of Electricity in Commercial Sector, West South Central, Annual"
69,"Retail Sales of Electricity in Commercial Sector, U.S. Total, Annual"
70,"Total Consumption of Electricity in United States, Annual"
71,"Number of Residential Customers, East North Central, Annual"
72,"Number of Residential Customers, East South Central, Annual"
73,"Comm. and Indus. Sectors Total Generation, Annual"
74,"Total Net Generation of Electricity from Large-Scale Power Plants, Commercial and Industrial Sectors, United States, Annual"
75,"Consumer Price Index (all urban consumers), Annual"
76,"Coal Supply-Demand Discrepancy, Annual"
77,"Commercial Sector Generation from Coal, Annual"
78,"Retail Sales of Electricity in Transportation Sector, West North Central, Annual"
79,"Retail Sales of Electricity in Transportation Sector, West South Central, Annual"
80,"Retail Sales of Electricity in Transportation Sector, U.S. Total, Annual"
81,"Retail Sales of Electricity in Commercial Sector, East North Central, Annual"
82,"Retail Sales of Electricity in Commercial Sector, East South Central, Annual"
83,"Retail Sales of Electricity in Commercial Sector, Alaska and Hawaii, Annual"
84,"Retail Sales of Electricity in Commercial Sector, Middle Atlantic, Annual"
85,"Retail Sales of Electricity in Commercial Sector, Mountain, Annual"
86,"Retail Sales of Electricity in Commercial Sector, New England, Annual"
87,"Fuel Ethanol Refinery and Blender Net Inputs, Annual"
88,"Consumption of Energy from Ethanol by All Sectors, Annual"
89,"Fuel Ethanol Consumption, Annual"
90,"Ethanol Share of Finished Gasoline Consumption, Annual"
91,"Electric Power Sector Total Generation, Annual"
92,"Total Net Generation of Electricity from Large-Scale Power Plants, Electric Power Sector, United States, Annual"
93,"Retail Sales of Electricity in Transportation Sector, East North Central, Annual"
94,"Retail Sales of Electricity in Transportation Sector, East South Central, Annual"
95,"Retail Sales of Electricity in Transportation Sector, Alaska and Hawaii, Annual"
96,"Retail Sales of Electricity in Transportation Sector, Middle Atlantic, Annual"
97,"Retail Sales of Electricity in Transportation Sector, Mountain, Annual"
98,"Retail Sales of Electricity in Transportation Sector, New England, Annual"
99,"Retail Sales of Electricity in Transportation Sector, Pacific Contiguous, Annual"
100,"Retail Sales of Electricity in Transportation Sector, South Atlantic, Annual"
101,"Retail Sales of Electricity in Transportation Sector, U.S. Total, Annual"
102,"Electric Power Sector Coal Consumption, Annual"
103,"Electric power sector net generation from coal, California, Annual"
104,"Electric power sector net generation from coal, Florida (FRCC), Annual"
105,"Electric power sector net generation from coal, Hawaii and Alaska, Annual"
106,"Electric power sector net generation from coal, Midwest (Midcontinent ISO), Annual"
107,"Electric power sector net generation from coal, New England (ISO-NE), Annual"
108,"Electric power sector net generation from coal, Northwest, Annual"
109,"Electric power sector net generation from coal, New York (NYISO), Annual"
110,"Electric power sector net generation from coal, Mid-Atlantic (PJM), Annual"
111,"Electric power sector net generation from coal, Southeast (SERC), Annual"
112,"Electric power sector net generation from coal, Central (SPP ISO), Annual"
113,"Electric power sector net generation from coal, Southwest, Annual"
114,"Electric power sector net generation from coal, Texas (ERCOT), Annual"
115,"Total Direct Use of Electricity in United States, Annual"
116,"Gross Exports of Electricity from the United States, Annual"
117,"Retail Sales of Electricity in Industrial Sector, East North Central, Annual"
118,"Retail Sales of Electricity in Industrial Sector, East South Central, Annual"
119,"Retail Sales of Electricity in Industrial Sector, Alaska and Hawaii, Annual"
120,"Retail Sales of Electricity in Industrial Sector, Middle Atlantic, Annual"
121,"Retail Sales of Electricity in Industrial Sector, Mountain, Annual"
122,"Retail Sales of Electricity in Industrial Sector, New England, Annual"
